CATID,z_spec,Mstar,M_r,r_e,SIGMA_RE,SIGMA_RE_ERR,LAMBDAR_RE_MGE,LAMBDAR_RE_MGE_ERR,TYPE,WARNSKER,WARNZ,ISBEST,epsMGE_Re
98880,0.0852599964,11.1999998093,-22.6299991608,4.7699999809,224.2881317139,1.5080982447,0.0911632851,0.0052000219,0.0,0,0,1,0.1783681065
106549,0.0318600014,10.2700004578,-20.9799995422,3.1400001049,72.6503601074,0.8689262867,0.2083623111,0.0063876184,0.5,0,0,1,0.0240285918
136605,0.1036100015,11.0200004578,-22.0799999237,1.8600000143,237.0084686279,2.6172664165,0.0747165456,0.0096667986,0.0,0,0,1,0.1279202104
136842,0.02709,10.8000001907,-21.5900001526,6.0799999237,173.2145996094,1.0790640116,0.1148217693,0.0034133357,0.0,0,0,1,0.1609016955
136871,0.0263800006,9.7299995422,-19.0,1.8700000048,91.2634887695,1.6830699444,,,0.5,0,0,1,0.2761091292
137037,0.0923099965,11.2399997711,-22.6200008392,4.8099999428,290.6467285156,2.649695158,0.0676084384,0.0068657873,0.5,0,0,1,0.1771400124
143291,0.044879999,10.1700000763,-20.25,3.9600000381,126.8328781128,1.5067801476,0.0540736206,0.0109272832,0.0,0,0,1,0.0990827978
143735,0.0811500028,10.9499998093,-22.0400009155,2.7300000191,157.1748352051,1.4614800215,0.3070408404,0.0083414428,0.5,0,0,1,0.1283863336
177969,0.0759000033,11.029999733,-22.0799999237,4.0100002289,234.8963775635,1.9847044945,0.0458614193,0.0069066836,0.0,0,0,1,0.1547985077
184648,0.0187500007,10.6000003815,-21.0499992371,5.6399998665,160.2250671387,0.6616131067,0.2547312677,0.0023558508,0.0,0,0,1,0.1922222227
185365,0.0522399992,10.3900003433,-20.75,1.7899999619,100.2736587524,1.1340759993,0.2106813043,0.0086962739,0.5,0,0,1,0.1422869265
185567,0.0823699981,10.8999996185,-21.8600006104,3.5799999237,216.8021087646,1.6712480783,0.1196433678,0.0074401652,0.5,0,0,1,0.2323411554
185914,0.1113099977,11.1599998474,-22.5900001526,4.9600000381,197.6908111572,2.9616360664,0.3706697822,0.009451773,0.5,0,0,1,0.0953152329
202480,0.0520199984,10.5600004196,-21.0300006866,4.2399997711,194.5334625244,1.7761093378,0.1756028682,0.0086535839,0.5,0,0,1,0.1808562577
203833,0.0529000014,10.8999996185,-21.7600002289,3.5499999523,207.1190032959,1.4741863012,0.0750362501,0.0048302654,0.0,0,0,1,0.0969034955
204832,0.0552299991,10.0699996948,-20.0499992371,2.75,63.4116210938,1.8061139584,0.1352897733,0.0266598091,0.0,0,0,1,0.0534921512
204877,0.0541200005,10.2100000381,-20.3099994659,3.6099998951,78.1860656738,2.1136972904,0.085724026,0.022822205,0.0,0,0,1,0.0467625037
205211,0.0536100008,10.4300003052,-20.7800006866,3.75,130.8561096191,2.0238993168,0.101360105,0.0156022888,0.5,0,0,1,0.1381824762
208652,0.0498199984,11.0,-21.9300003052,5.25,153.841796875,1.2841156721,0.1272456646,0.0072939005,0.0,0,0,1,0.0198295452
209185,0.0515800007,10.7299995422,-21.4799995422,5.6399998665,176.7521820068,1.7256429195,0.370967567,0.0069520371,0.5,0,0,1,0.2566695213
209680,0.0529499985,11.1099996567,-22.1399993896,7.6700000763,199.6439666748,2.5319697857,0.0813595504,0.0070623676,0.0,0,0,1,0.1379656047
210467,0.0925600007,10.6300001144,-21.1299991608,1.9800000191,177.3372802734,2.792072773,,,0.0,0,0,1,0.0968394652
214211,0.0776500031,10.8999996185,-21.8899993896,3.5199999809,144.8746795654,1.5425710678,0.0547390059,0.0076652188,0.5,0,0,1,0.0258059856
215289,0.0576100014,10.8100004196,-21.6399993896,3.0499999523,179.2808990479,1.6384973526,0.138594985,0.0077938782,0.0,0,0,1,0.101578027
216184,0.0187899992,10.5100002289,-20.7999992371,5.2399997711,151.0646514893,0.826607883,0.2559609711,0.0029085476,0.0,0,0,1,0.0753334165
220112,0.0196800008,10.1199998856,-20.0699996948,4.5700001717,79.852355957,0.8813069463,0.245174855,0.0062539987,0.0,0,0,1,0.0288363788
220218,0.0477200001,10.5,-20.9799995422,5.2600002289,122.5845031738,1.8023433685,0.1058408096,0.0100978781,0.0,0,0,1,0.0131145688
220437,0.0783800036,11.0900001526,-22.2600002289,4.9800000191,205.0075073242,2.0989634991,0.1365324259,0.0067203604,0.0,0,0,1,0.0307955686
220465,0.0844599977,11.3100004196,-22.8700008392,5.8499999046,240.8326568604,1.8840312958,0.1787060648,0.0049984851,0.5,0,0,1,0.2614684105
227617,0.0542600006,10.5200004578,-20.9400005341,4.9699997902,120.0613327026,3.4975457191,0.1788103729,0.0201225672,0.0,0,0,1,0.1356799155
228708,0.0939899981,10.9899997711,-22.1100006104,3.1400001049,154.7885742188,2.0774142742,0.0834241062,0.0096654119,0.0,0,0,1,0.1258880049
229164,0.0495200008,10.5699996948,-21.1900005341,4.0799999237,104.5451660156,0.9804571867,0.1804668754,0.0062614824,0.5,0,0,1,0.0285669323
230455,0.0775600001,11.0500001907,-22.0699996948,7.0999999046,205.0623626709,3.4321165085,0.1275102794,0.0107471505,0.5,0,0,1,0.2985247374
230556,0.0776000023,10.970000267,-21.8799991608,5.3000001907,171.7343444824,3.4475588799,0.1167634428,0.0130571937,0.0,0,0,1,0.0476808287
230683,0.0205400009,9.9399995804,-19.5200004578,4.5700001717,64.0247955322,0.9119397402,0.0741955414,0.0080751143,0.0,0,0,1,0.0192808248
230786,0.0191900004,9.9300003052,-19.2700004578,2.3699998856,125.2005462646,1.0426608324,0.1135123745,0.0069218758,0.0,0,0,1,0.1455733776
230787,0.0208299998,9.3400001526,-18.1900005341,2.3299999237,64.4897994995,1.8492394686,0.1271100789,0.0234329402,0.0,0,0,1,0.1658255756
230789,0.0210999995,9.5200004578,-18.3799991608,1.1100000143,87.3446044922,1.4431887865,,,0.5,0,0,1,0.0045782323
230797,0.0196599998,8.9399995804,-17.0300006866,0.9499999881,51.0030899048,3.0124316216,,,0.0,0,0,1,0.0035414458
238325,0.0540600009,10.1800003052,-20.2299995422,3.6800000668,97.518989563,1.5672694445,0.4001043737,0.0127347987,0.5,0,0,1,0.198501572
238453,0.0545799993,10.6899995804,-21.3199996948,3.2899999619,148.139755249,1.6974111795,0.1251234412,0.010182024,0.5,0,0,1,0.1045305878
238922,0.0261799991,10.7399997711,-21.5200004578,6.3299999237,185.2448425293,1.3810325861,0.2993590832,0.0030335654,0.0,0,0,1,0.1241223887
250183,0.0588399991,10.2299995422,-20.2399997711,0.8500000238,155.241027832,3.5771024227,,,0.5,0,0,1,0.0104466341
250243,0.0544699989,10.0699996948,-19.9300003052,2.3099999428,84.6705551147,1.5611205101,0.1469250023,0.0163958948,0.0,0,0,1,0.0888965353
252057,0.0327100009,9.9099998474,-19.5400009155,2.4800000191,91.9889755249,0.9913923144,0.121716857,0.0105276117,0.5,0,0,1,0.0783353522
271538,0.0763399974,10.970000267,-22.0100002289,3.3800001144,183.9808807373,1.6784745455,0.0362000465,0.0079287449,0.5,0,0,1,0.1622079313
272190,0.0809400007,10.9600000381,-22.1299991608,3.7000000477,187.20652771,1.7855162621,0.0840037763,0.0072219195,0.0,0,0,1,0.0540491305
272488,0.048489999,10.3299999237,-20.5,2.0099999905,130.536529541,1.1725159883,0.1894813031,0.0091630621,0.5,0,0,1,0.1013976857
272820,0.0831499994,10.8199996948,-21.6100006104,3.1099998951,167.4475250244,1.685513854,0.1008213907,0.0093433429,0.0,0,0,1,0.0160228014
272831,0.0835200027,11.1700000763,-22.4899997711,3.75,254.3803405762,2.4078330994,0.065093413,0.0073985881,0.5,0,0,1,0.1234564707
272833,0.082510002,10.9200000763,-21.8500003815,4.4400000572,161.5993804932,2.6333582401,0.1151017696,0.0130710499,0.5,0,0,1,0.2585288286
272990,0.0411799997,10.5900001526,-21.2999992371,4.1599998474,137.3477172852,1.0435926914,0.2191384435,0.005724147,0.5,0,0,1,0.179410845
273845,0.0787200034,11.2399997711,-22.6200008392,5.7300000191,289.1235961914,2.5589177608,0.0593792535,0.0062874281,0.0,0,0,1,0.0229353383
278840,0.0417100005,10.4099998474,-20.9699993134,3.1500000954,101.7220153809,1.2674709558,0.2845690846,0.0078275977,0.5,0,0,1,0.1797473282
279878,0.0873399973,11.2600002289,-22.7000007629,4.3899998665,232.7110443115,1.8499159813,0.0860500708,0.0068647484,0.0,0,0,1,0.0880986229
279905,0.0176800005,10.4300003052,-20.6100006104,6.1500000954,170.5892181396,1.2037539482,0.4235181212,0.0027884333,0.5,0,0,1,0.2694029808
279910,0.0868500024,11.0100002289,-22.2199993134,2.8800001144,219.487701416,1.7947191,0.0438717194,0.0067192204,0.5,0,0,1,0.1380383968
288803,0.0485199988,10.6599998474,-21.2700004578,4.1999998093,176.933883667,1.5295032263,0.0915493146,0.0063412017,0.0,0,0,1,0.0699982569
289168,0.0195400007,9.1000003815,-17.6200008392,2.8099999428,56.0819854736,2.7544016838,,,0.5,0,0,1,0.2240979224
298590,0.0336700007,10.5500001907,-20.9099998474,5.0199999809,136.9418029785,1.0237648487,0.1520692706,0.0050976141,0.0,0,0,1,0.1861368418
300406,0.0508500002,10.9200000763,-21.8999996185,6.25,204.0933227539,1.7442913055,0.0805101171,0.0056282342,0.5,0,0,1,0.1504602283
300411,0.0510899983,10.8100004196,-21.6499996185,3.2000000477,158.7863922119,1.4498624802,0.0485069044,0.0070343027,0.0,0,0,1,0.1665544063
300691,0.0455799997,10.3500003815,-20.5,2.3399999142,119.937210083,1.5843026638,0.0957131535,0.0120640378,0.0,0,0,1,0.1149699613
301519,0.1072600037,10.9499998093,-22.0799999237,2.7300000191,218.0870361328,2.7552564144,0.0583964251,0.0111932438,0.0,0,0,1,0.0857244879
301937,0.0934799984,11.0399999619,-22.4200000763,4.9299998283,162.6878356934,1.9354324341,0.062174812,0.0075757303,0.5,0,0,1,0.1689085364
319070,0.0388399996,10.6800003052,-21.4099998474,3.0599999428,194.4174041748,1.4645168781,0.2688521743,0.0059470781,0.5,0,0,1,0.2203579992
319196,0.0531300008,10.1700000763,-20.3799991608,2.1099998951,95.6409912109,1.2882628441,0.2595013976,0.0115974173,0.5,0,0,1,0.0799775869
319293,0.0542600006,10.2899999619,-20.3899993896,3.1700000763,94.1956710815,2.5333666801,0.1721234918,0.0269997343,0.5,0,0,1,0.0660116673
319395,0.0541599989,10.7100000381,-21.4799995422,5.1500000954,105.1956863403,1.6892342567,0.1533300728,0.0116157401,0.5,0,0,1,0.1693077236
321146,0.0338100009,9.6999998093,-19.2000007629,2.5599999428,74.8014068604,1.6027810574,0.0529087335,0.018478008,0.5,0,0,1,0.1528164595
323566,0.0425000004,10.0100002289,-19.7199993134,1.4099999666,103.1668624878,1.4020617008,,,0.0,0,0,1,0.1165213957
323593,0.0688700005,11.1300001144,-22.4099998474,4.6999998093,251.0341339111,1.997232914,0.2516063154,0.0060134763,0.5,0,0,1,0.2190482169
